line	region	regSeed	seed	notes	conference	team	wins	losses	itaRank	trnRank	slamRank	masseyRank	utrRank	eloRank	glickoRank	rpiRank	ustaRank	coachRank	r2Id	trnId	utrId	masseyId	teamCode	division
1	FLA	1	1		SEC	Florida	20	2	2	3	2	1	1	3	1	1	2	2
2	FLA	4		AQ	Sun Belt	South Alabama	12	7	74	74	66	52	71	25	40	47		
3	FLA	3			ACC	Duke	12	10	35	36	31	34	32	55	55	48		36
4	FLA	2			AAC	South Florida	16	9	32	34	32	32	37	38	31	26		33
5	ILL	2			ACC	Notre Dame	14	10	34	42	40	36	38	58	52	35		37
6	ILL	3		AQ	MAC	Western Michigan	22	1	41	49	54	46	83	6	10	8	RV	48
7	ILL	4		AQ	Big East	DePaul	15	5	81	88	88	90	119	35	49	41		
8	ILL	1	16	AQ	Big Ten	Illinois	21	2	18	4	6	9	14	7	9	20	8	13
9	UCF	1	9	AQ	AAC	Central Florida	21	3	10	13	12	7	12	5	7	11	T10	9
10	UCF	4		AQ	MAAC	Monmouth (NJ)	14	2	89	106	127	121	130	12	17	18		
11	UCF	3		L4	ACC	Miami (FL)	8	10	39	43	37	38	44	95	69	70		43
12	UCF	2			SEC	Mississippi State	16	9	16	19	20	27	24	51	28	38	23	18
13	A&M	2			Big 12	Oklahoma	10	14	27	28	29	37	27	89	53	55		26
14	A&M	3		AQ	The Summit	Denver	16	3	45	35	42	40	64	18	33	30		44
15	A&M	4		AQ	MWC	New Mexico	8	9	70	80	72	55	74	75	83	69		
16	A&M	1	8		SEC	Texas A&M	16	8	8	11	11	12	9	22	13	16	14	8
17	UVA	1	5	AQ	ACC	Virginia	21	2	4	1	1	3	4	2	4	2	1	5
18	UVA	4		AQ	NEC	Fairleigh Dickinson	6	4	130	186	189	172	175	88	120	65		
19	UVA	3		L4	SEC	LSU	12	12	40	39	38	53	48	101	60	97		39
20	UVA	2			Pac-12	Stanford	10	5	21	21	22	20	4	24	21	22	20	20
21	USC	2		AQ	WCC	Pepperdine	15	6	28	30	34	22	28	23	30	27	24	30
22	USC	3		AQ	Big West	UC Santa Barbara	10	5	76	72	67	71	63	54	71	90		
23	USC	4		AQ	WAC	Grand Canyon	8	12	149	133	132	130	109	123	140	146		
24	USC	1	12	AQ	Pac-12	USC	20	6	12	16	14	8	3	11	8	10	13	12
25	SCAR	1	13		SEC	South Carolina	15	9	13	15	15	16	18	26	15	25	15	13
26	SCAR	4		AQ	CAA	UNC Wilmington	15	5	66	58	57	56	70	27	46	52		
27	SCAR	3		AQ	ASUN	Liberty	20	7	44	52	51	45	57	41	57	34		47
